layer,N_L2norm_ours_mean,N_L2norm_LPA_mean,N_L2norm_ours_std,N_L2norm_LPA_std
0,0.2678479955970891,0.5567562912027448,0.02764344160992752,0.045678800224371464
1,0.34116795431293845,0.6131262101034772,0.029067116091681913,0.04178414524566182
2,0.40446149725187563,0.6434640748413375,0.03325897756731659,0.036850802976059506
3,0.45992299251444885,0.6488635205070763,0.03575736095594369,0.051915238835120205
4,0.4914730998323858,0.6523959017335536,0.02979872877507754,0.033854671365716384
5,0.5242588772116055,0.6570318249764648,0.04506628304402815,0.04150291175485518
