layer,N_L2norm_ours_mean,N_L2norm_LPA_mean,N_L2norm_ours_std,N_L2norm_LPA_std
0,0.09983505500115096,0.5599929519231326,0.016102540090244626,0.046724750065596364
1,0.14439265627392156,0.6375530452798096,0.016711308933512286,0.052530925543375316
2,0.18455528767261153,0.6685618021400279,0.015655999042024554,0.04450619358415187
3,0.20621660136539274,0.6954789337333968,0.017040641749182957,0.04372500543592894
4,0.22930032736566883,0.6864232306156496,0.024631887426838674,0.03218084893400208
5,0.25689847759449036,0.6831643062031983,0.02320613739909792,0.03500835631521611
