layer,N_L2norm_ours_mean,N_L2norm_LPA_mean,N_L2norm_ours_std,N_L2norm_LPA_std
0,0.07792971219849121,0.5427773773589936,nan,nan
1,0.1416311079860381,0.5608122798597969,nan,nan
2,0.18560822749827405,0.49446646388219984,nan,nan
3,0.18634239061629665,0.5888413992717877,nan,nan
4,nan,0.5720218408431855,nan,nan
5,nan,0.8407646035092696,nan,nan
