layer,N_L2norm_ours_mean,N_L2norm_LPA_mean,N_L2norm_ours_std,N_L2norm_LPA_std
0,0.15276927043354038,0.5075964988842542,0.022501293733469274,0.042168851279059
1,0.21885764817231373,0.5963605886675916,0.028787481309104985,0.061263745722810084
2,0.2659667288355037,0.6338570113870198,0.030324082691630352,0.06718456464519929
3,0.29557707141079076,0.6457673442020602,0.035077664117011596,0.055862055586362466
4,0.3201493447073165,0.6338852275628425,0.03489426926525876,0.0630137956585662
5,0.35038988419588485,0.6233404922205731,0.04194964665693321,0.04604404258224394
