layer,N_L2norm_ours_mean,N_L2norm_LPA_mean,N_L2norm_ours_std,N_L2norm_LPA_std
0,0.06040976156314028,0.546494113986935,nan,nan
1,0.07014174318948899,0.5968265530421231,nan,nan
2,0.11394536958442919,0.4678516429959951,nan,nan
3,0.10593914575887801,0.5890461903513929,nan,nan
4,0.15244199221513924,0.5744639622844303,nan,nan
5,0.13367554263725018,0.8293262689135156,nan,nan
