layer,N_L2norm_ours_mean,N_L2norm_LPA_mean,N_L2norm_ours_std,N_L2norm_LPA_std
0,0.06040976156314349,0.5464941139869399,nan,nan
1,0.07014174318948285,0.5968265530421242,nan,nan
2,0.11394536958442407,0.46785164299599374,nan,nan
3,0.1059391457588893,0.5890461903513959,nan,nan
4,0.15244199221515214,0.5744639622844396,nan,nan
5,0.1336755426372784,0.8293262689135115,nan,nan
