layer,N_L2norm_ours_mean,N_L2norm_LPA_mean,N_L2norm_ours_std,N_L2norm_LPA_std
0,0.11237367105738144,0.553498977744862,0.016247963516463203,0.05418864190975967
1,0.14647891906960794,0.6226788192376601,0.014231370917995879,0.05118082586522771
2,0.18332784405829822,0.660679788900627,0.01982679795909602,0.04796559284826704
3,0.2146479242598101,0.670279739480506,0.025244345702280603,0.052257374966605215
4,0.23871964224049533,0.6612471066849518,0.029363971904387276,0.03775295320642647
5,0.25537785318053013,0.6746373832480353,0.0354480474041708,0.04685928278754157
