layer,N_L2norm_ours_mean,N_L2norm_LPA_mean,N_L2norm_ours_std,N_L2norm_LPA_std
0,0.12334796212283089,0.4610169240428659,0.02338724093921795,0.0873471965425111
1,0.1719335487055713,0.565211888548368,0.02876366319263613,0.0873640456233761
2,0.2038275186445323,0.5512389488042909,0.04423296966614255,0.07099472019138334
3,0.24182616967137208,0.6178897343487796,0.0722494994687639,0.06655709283020513
4,0.24972973707485124,0.6294649726006862,0.05614072490774268,0.07848862947393198
5,0.28723997991244143,0.6348167469535779,0.07844503695775407,0.10324359403986992
