layer,N_L2norm_ours_mean,N_L2norm_LPA_mean,N_L2norm_ours_std,N_L2norm_LPA_std
0,0.2225015124425298,0.5369446834507936,nan,nan
1,0.2899750358372359,0.6510049129882025,nan,nan
2,0.3522128139368041,0.5592629078095082,nan,nan
3,0.38989676472115636,0.6574820583492099,nan,nan
4,0.5147662007742705,0.5558859125238441,nan,nan
5,0.5505214083839564,0.6923585872635467,nan,nan
