layer,N_L2norm_ours_mean,N_L2norm_LPA_mean,N_L2norm_ours_std,N_L2norm_LPA_std
0,0.09169929608325805,0.5035541671231875,0.007899537233685364,0.03274258675465062
1,0.12445956182313406,0.5943479754287369,0.016784059833084865,0.06595887274814807
2,0.15259112353808846,0.6347717744758027,0.01984595590344643,0.06442826068260245
3,0.18344880073924466,0.64709270040705,0.024220952703474526,0.05741989438443763
4,0.2056072204711378,0.631995887552731,0.033783576572504456,0.060071823915605935
5,0.21863734307955218,0.6223837165232697,0.040040687545030616,0.04587079343501252
