layer,N_L2norm_ours_mean,N_L2norm_LPA_mean,N_L2norm_ours_std,N_L2norm_LPA_std
0,0.09616651170330605,0.4573370677385546,0.012666044348585336,0.08630590644427413
1,0.13291542344011403,0.5616535220043386,0.02257903402729595,0.08923234986947351
2,0.17731286346141242,0.5515156776670338,0.029227346089022593,0.06907878563983935
3,0.1787821784321708,0.6184372362581447,0.04587514867042002,0.06509945700863759
4,0.19582389248459509,0.629210622989416,0.04240491588160215,0.07747618207101752
5,0.21682498428889538,0.6348468156983471,0.05227781128451754,0.10138019888894342
