frequency,energy
0,0.12347837537527084
1,0.15584494173526764
2,0.06599336117506027
3,0.11385931074619293
4,0.05589652061462402
5,0.06473537534475327
6,0.12624917924404144
7,0.1467127799987793
8,0.09249154478311539
9,0.032427992671728134
10,0.01264936663210392
11,0.004830570425838232
12,0.002156947273761034
13,0.0012408264447003603
14,0.0008291110279969871
15,0.0006038025603629649
