frequency,energy
0,0.19570276141166687
1,0.2017197161912918
2,0.04861626401543617
3,0.0935785174369812
4,0.051845479756593704
5,0.053138617426157
6,0.07202470302581787
7,0.12972962856292725
8,0.0933305099606514
9,0.03875479847192764
10,0.012724115513265133
11,0.004406771622598171
12,0.001982285175472498
13,0.0011408063583076
14,0.0007576046045869589
15,0.000547491479665041
