patch_size,patched_surface_tm_time
5,1.456686019897461
7,1.5863646268844604
9,1.841742992401123
11,2.1674442291259766
13,2.266761541366577
15,2.301645517349243
17,2.486344337463379
19,2.7107445001602173
21,3.0005067586898804
