width,phase_mean,phase_std,mag_mean
0.01,2.47897204564959,8.465919799725289e-05,0.8880216267327902
0.011,2.4742305169854606,8.68112695828916e-05,0.8880144292039602
0.012,2.4689232676174973,8.916429811910539e-05,0.8880076913575093
0.013,2.4626454308546384,9.188807208832008e-05,0.8880012543294167
0.014,2.454915069348934,9.516892110319278e-05,0.8879948704152202
0.015,2.4452206896443185,9.920884980525515e-05,0.8879885196306275
0.016,2.4328780563997894,0.00010426616523109131,0.8879816664852658
0.017,2.4171034370429374,0.00011063737667694589,0.887973454059801
0.018,2.3971052383677502,0.00011862880633801024,0.8879627877374686
0.019,2.372228512225459,0.0001284761050758758,0.8879488403428435
0.02,2.3422876308721876,0.0001402264580192864,0.8879327163741149
0.021,2.3078180200058993,0.00015363273660579576,0.8879187543289251
0.022,2.2702323339221446,0.0001681066488240136,0.8879144151416225
0.023,2.2316175777251948,0.00018281057282817286,0.8879270274929103
0.024,2.1942821391102605,0.0001968540632199542,0.8879595282222903
0.025,2.1601578432471498,0.00020952221001725434,0.8880085525955023
0.025,2.1601578432471547,0.00020952221001715998,0.8880085525955008
0.026,2.1304196019655963,0.00022041563948579292,0.8880667606819287
0.027,2.1053956715949678,0.00022946555342285852,0.8881267551225248
0.028,2.0847107460149856,0.00023685564050403014,0.8881835319128305
0.029,2.0675624723164154,0.0002429109965007052,0.8882352691789459
0.03,2.052982448452898,0.0002480082293291005,0.888282383159201
0.031,2.040021005824613,0.00025249208221798084,0.8883265570771727
0.032,2.0279337647553177,0.00025663256925869814,0.8883695833636627
0.033,2.016241680082428,0.0002605947606385044,0.8884128129933592
0.034,2.0048020064719556,0.00026442585945196754,0.8884565896387226
0.035,1.9937495844989666,0.00026808159164717877,0.8885002568651813
0.036,1.9833622028217424,0.00027147466410963546,0.8885425046028195
0.037,1.9738843153474004,0.00027452660653834297,0.8885821359839918
0.038,1.9654532762777588,0.0002772052853209193,0.8886182448795954
0.039,1.9580219044533016,0.00027953718347459777,0.8886507712310934
0.04,1.9513648637717063,0.00028159976781645424,0.8886805287342928
0.041,1.9451845466348308,0.0002834916692493508,0.8887086813542217
0.042,1.9391656882252741,0.00028531232397567617,0.8887366542363319
0.043,1.933074257671163,0.0002871311172537202,0.8887655358147767
0.044,1.9268050657560147,0.00028897917572912653,0.8887959080889771
0.045,1.9203769019164183,0.0002908450660673572,0.8888277849086487
0.046,1.9139328579081356,0.0002926880771192825,0.8888605867819084
0.047,1.9076393849683237,0.0002944622589157705,0.8888935027491682
0.048,1.9015793837791184,0.0002961481198094652,0.8889261648867882
0.049,1.8957161656773385,0.00029776274107427397,0.8889588037413311
0.05,1.889842034846433,0.00029937036967059164,0.8889926251721689
0.051,1.8836117133866916,0.0003010692268172001,0.8890298234898147
0.052,1.8765670631625966,0.000302987418968584,0.8890734144732048
0.053,1.8681783401807583,0.00030527333594993205,0.8891272485113842
0.054,1.8578296132107013,0.0003080937674412266,0.8891961894081534
0.055,1.8448465780175665,0.0003116384482201361,0.8892862078085938
0.055,1.8448465780175716,0.0003116384482201148,0.889286207808589
0.056,1.828444002446093,0.0003161235066577188,0.8894049263891144
0.057,1.8076946324718373,0.0003218067878409569,0.8895622978034844
0.058,1.781498889877823,0.00032898850310104005,0.8897710342004578
0.059,1.7487331982043088,0.0003379564340546401,0.8900461287188287
0.06,1.7085061896074543,0.0003489083482301053,0.8904022951535676
0.061,1.660559504426512,0.0003618322730192253,0.8908489681169958
0.062,1.6057172755912321,0.00037639546273128825,0.8913825923654572
0.063,1.546025523806497,0.0003919295299756463,0.8919818761604142
0.064,1.4844492414211208,0.0004075509639706887,0.8926105093270982
0.065,1.4242410870520068,0.00042237056952438234,0.893227859664465
0.066,1.3682045398445226,0.00043570273999333093,0.893801013003238
0.067,1.3181093553402257,0.000447192710170469,0.8943119608207871
0.068,1.2745788194463108,0.0004568129502082604,0.8947562820345163
0.069,1.2371947408234467,0.00046477592707906836,0.8951398147364316
0.07,1.2047972472424826,0.0004714360782129408,0.8954749988820123
0.071,1.1758427409403476,0.0004771906206341086,0.8957775422627319
0.072,1.1486939952254236,0.00048240442657611295,0.8960647677706202
0.073,1.1220406026029703,0.0004873483157758605,0.896350202281604
0.074,1.0950294703713974,0.000492172761177725,0.896643452714322
0.075,1.0674826792228957,0.0004968952792047391,0.8969465863759006
0.076,1.0398290174881981,0.0005014318089828124,0.8972547276550082
0.077,1.0128574458869168,0.0005056587108021457,0.8975583060872174
0.078,0.9873489803366834,0.0005094759760347604,0.897847430267466
0.079,0.9637689019721954,0.0005128463971832709,0.8981155024390028
0.08,0.9420708868344568,0.0005158182712181579,0.8983619572000443
0.081,0.9217052849664109,0.0005184963730386019,0.8985923097393501
0.082,0.901834736215949,0.0005210038549757784,0.8988153986838289
0.083,0.8815507328110902,0.0005234635593100749,0.8990404965176704
0.084,0.8601398830187462,0.0005259505632467599,0.899274285684416
0.085,0.8373083696686537,0.0005284843996549721,0.8995180189610604
0.085,0.8373083696686476,0.000528484399654989,0.89951801896106
0.086,0.8132645390338016,0.0005310250679471232,0.8997670302917151
0.087,0.7886565060312245,0.0005335007221841592,0.9000119295168514
0.088,0.7642669226057126,0.0005358413952190728,0.9002428077527552
0.089,0.7406362188379338,0.0005380200890698182,0.9004534094660118
0.09,0.7178319901273259,0.000540061304889146,0.9006427288345598
0.091,0.6953251513668882,0.0005420460152004609,0.900814565296866
0.092,0.6720874810243063,0.0005440894693835428,0.9009751658321047
0.093,0.6467681950529518,0.0005463321227647198,0.901129978713793
0.094,0.6179673676518391,0.0005489113631357344,0.9012800777640585
0.095,0.584398694654223,0.0005519703193625584,0.9014199200289358
0.096,0.5449661480185388,0.0005556545092161359,0.9015358024535575
0.097,0.4987885646848316,0.0005601282959506037,0.9016053915791066
0.098,0.4448889611280374,0.00056559600050435,0.9015980926491015
0.099,0.3820185115078149,0.0005722926911505803,0.9014725176036268
0.1,0.3085923711202136,0.0005804455145279368,0.901170417413498
0.101,0.22304261228958644,0.0005901894691939572,0.9006086895176231
0.102,0.12458111706383086,0.0006014445076538726,0.8996764517906926
0.103,0.013991092592932255,0.0006138434208110072,0.8982447142743941
0.104,-0.10601133337380858,0.0006267348584111166,0.8961917389681349
0.105,-0.2309713206510528,0.0006393096305746824,0.8934457614849339
0.106,-0.35557721893190614,0.0006508087495485428,0.8900312442576368
0.107,-0.47479098084221955,0.0006607060435366035,0.8860932751294612
0.108,-0.5847844152106546,0.0006687949171505493,0.8818726409204166
0.109,-0.683679423618132,0.000675164132340443,0.8776221719873964
0.11,-0.7717222007795429,0.0006800907690758535,0.8735175779523864
0.111,-0.8510258290456383,0.0006839143527364535,0.8696091995076648
0.112,-0.924901951790291,0.0006869476783793082,0.8658364962886326
0.113,-0.9970072919455513,0.0006894113383736918,0.8620820911823223
0.114,-1.0703826272786072,0.0006914117959466392,0.8582455319599598
0.115,-1.146739896263825,0.0006929506754381652,0.8543029107199879
0.115,-1.14673989626382,0.0006929506754380879,0.8543029107199909
0.116,-1.2260275292579284,0.0006939613311555138,0.8503438067943266
0.117,-1.3065240432728549,0.0006943796827780745,0.8465534977443836
0.118,-1.3855672005662067,0.0006942001558792741,0.8431446764462649
0.119,-1.4607374678824203,0.0006934938165228305,0.8402667407667728
0.12,-1.5307826836189637,0.0006923726059822132,0.8379657281981169
0.121,-1.5960886457286558,0.0006909333166070699,0.8361943192958718
0.122,-1.658512993997611,0.0006892083359278626,0.8348713636184559
0.123,-1.7207247178741694,0.0006871566503769464,0.833936991856284
0.124,-1.7853838709630196,0.0006846810903311934,0.8333928609762467
0.125,-1.8543607778477778,0.000681664620550084,0.8333066743406611
0.126,-1.9280471647072475,0.0006780281739139008,0.833785946028833
0.127,-2.005177522378697,0.0006737820416403295,0.8349144914155695
0.128,-2.0833185517950414,0.0006690452077787695,0.8366920554603
0.129,-2.1598429315487273,0.0006640131697810119,0.8390145754449299
0.13,-2.233041689245925,0.0006588728561650714,0.841728458001117
0.131,-2.3028822070448145,0.0006537163035836743,0.8447163518216935
0.132,-2.3710583184144474,0.0006484985111218816,0.8479542389664865
0.133,-2.4404832361946336,0.0006430509884372667,0.8515162496855854
0.134,-2.5145333467894497,0.0006371361800940175,0.8555364248857277
0.135,-2.5961657431275746,0.0006305367166082359,0.8601336319846756
0.136,-2.6871166952672705,0.0006231543549405045,0.8653253491034133
0.137,-2.7876201118729727,0.0006150800525183493,0.8709664646053065
0.138,-2.896638588583557,0.0006066258028444537,0.8767455728617977
0.139,-3.0128638993762906,0.0005982448985830954,0.8822542168176973
0.14,-3.1357642065753586,0.0005903917327576326,0.8870624853067105
0.141,3.0169167665072107,0.0005833548190318262,0.8907217866901354
0.142,2.8769825538144405,0.00057716495331547,0.8926636416160519
0.143,2.726147825633988,0.0005715738323624639,0.8921121290117193
0.144,2.5648768188084663,0.0005661233883588354,0.8881613969782322
0.145,2.3965823664218875,0.000560275694546475,0.8801380855997569
0.145,2.3965823664218844,0.0005602756945466647,0.880138085599754
0.146,2.2274105871346923,0.0005535941045909161,0.8681257143542918
0.147,2.0646841628066532,0.0005458987897118108,0.8532282544383174
0.148,1.914817827393676,0.0005373375306751844,0.8372352201252691
0.149,1.7816171307047848,0.0005282843397264109,0.821875382111865
0.15,1.6657840164021993,0.0005191563833761115,0.8082364197597789
0.151,1.5652410144445583,0.0005102141340852489,0.7966386802901894
0.152,1.4760774705193043,0.000501460713555947,0.7868761626846241
0.153,1.3936713389978417,0.0004926840225427196,0.7785473433404348
0.154,1.3136851161349785,0.00048354753122792956,0.7713200312556404
0.155,1.2330204841297396,0.0004737550330370719,0.7650910778497264
0.156,1.1503762861273983,0.00046318671652503693,0.760009062806414
0.157,1.0663301985072244,0.0004519852669256597,0.7563722470000346
0.158,0.982889004559923,0.00044055190619154077,0.7544399294952259
0.159,0.9025494248924567,0.00042940812647214026,0.7542629648519313
0.16,0.8271418677973948,0.0004189888749868696,0.7556486184354372
0.161,0.7571195239745676,0.0004094880338957046,0.7582952473135385
0.162,0.6913226465919038,0.00040083919928392595,0.7619601891401747
0.163,0.6273393194973025,0.0003927980557156148,0.7665838726297802
0.164,0.562104407548499,0.0003850848269296701,0.7723219196567446
0.165,0.4927117415330373,0.0003775428120605792,0.7794757100754948
0.166,0.4171511911121675,0.00037024694776134024,0.7883703239298109
0.167,0.3347863156295445,0.00036356495700695115,0.7991722375595378
