width,phase_mean,phase_std,mag_mean
0.01,2.474710908465972,1.6684349349702309e-10,0.8739626284917941
0.011,2.466919921019189,1.762924996051191e-10,0.8731798886980152
0.012,2.4591958512474603,1.8599204360007644e-10,0.8723810197874399
0.013,2.451554157855472,1.95936328451951e-10,0.8715707865468495
0.014,2.444003387209806,2.0613373336728413e-10,0.8707526085278104
0.015,2.4365511103367203,2.1658872903607478e-10,0.8699300721436086
0.016,2.4292043855186627,2.2729394004904266e-10,0.869106491011981
0.017,2.421969213360753,2.382718686770133e-10,0.8682852301756301
0.018,2.414849253233223,2.495022129477812e-10,0.8674690971308984
0.019,2.407847198855762,2.609939199017271e-10,0.8666609966470188
0.02,2.400962443214044,2.727361425248212e-10,0.8658627520900869
0.021,2.394199900888306,2.8474930440546174e-10,0.865077019399801
0.022,2.3875545152921185,2.970151347223649e-10,0.8643058686531282
0.023,2.381028939476006,3.0955006816414463e-10,0.8635510588589289
0.024,2.374618911724902,3.223578797302867e-10,0.8628136568055305
0.025,2.368321688063924,3.354378967083387e-10,0.8620956962787522
0.026,2.362133872875711,3.4880280714006003e-10,0.8613976608065499
0.027,2.3560541627574527,3.6246854587186545e-10,0.860721636281837
0.028,2.350074873605931,3.764404374956181e-10,0.8600674718886732
0.029,2.344195540486163,3.907385388096529e-10,0.8594363068308084
0.03,2.3384094968579747,4.053487249992939e-10,0.858828626391522
0.031,2.3327125104246313,4.203051627780832e-10,0.8582449230725101
0.032,2.3271013477254447,4.356223710020863e-10,0.8576857417980869
0.033,2.3215729294392027,4.512960370124296e-10,0.8571510661528791
0.034,2.3161212734872456,4.673309630924434e-10,0.8566413478461379
0.035,2.3107422053338005,4.837522446924413e-10,0.8561560137594704
0.036,2.3054333738779755,5.00547135209213e-10,0.8556953746134544
0.037,2.300192507870987,5.177417252615713e-10,0.8552601101422347
0.038,2.2950132351198635,5.353156233725488e-10,0.8548492839689021
0.039,2.2898944834464836,5.532822062832051e-10,0.8544633219271718
0.04,2.284834384952502,5.716415749879126e-10,0.8541025879276163
0.041,2.27982488076825,5.904084254334615e-10,0.8537661567118074
0.042,2.2748658699348927,6.095695457197463e-10,0.8534547786986758
0.043,2.269952998931236,6.29153571467095e-10,0.8531683835788028
