idx,gt_amp,ours_amp,LPA_amp
0,0.027857139933656547,0.03427578225210532,0.015324846
1,0.02873345169794831,0.03548560965111616,0.015315175
2,0.02958410113832329,0.03666280025768547,0.015302731
3,0.030405326562902776,0.03780309513366503,0.015284876
4,0.03119352092126924,0.03890240144238054,0.015258502
5,0.03194524905447738,0.03995681877799831,0.015220069
6,0.03265726746565586,0.040962636089077985,0.0151656605
7,0.033326546298938456,0.04191636484639791,0.01509104
8,0.033950293223892695,0.04281474240794465,0.014991686
9,0.034525978929306034,0.04365476417409578,0.014862901
10,0.03505136393188148,0.04443371551884242,0.0146998195
11,0.03552452640062664,0.045149176847812146,0.014497517
12,0.03594389068526463,0.04579907008133414,0.014251043
13,0.0363082562155121,0.0463816719180632,0.013955476
14,0.036616826405923286,0.046895644169779975,0.013605984
15,0.03686923715616414,0.04734009619181324,0.0131978765
16,0.03706558447660544,0.047714512336442895,0.012726682
17,0.03720645069116442,0.04801890408770212,0.01218813
18,0.03729292857027285,0.048253760540926144,0.011578247
19,0.03732664262361194,0.04842008371274929,0.010893372
20,0.0373097666322303,0.04851941879137544,0.010130229
21,0.03724503632154115,0.04855385897301205,0.009285955
22,0.03713575587162288,0.04852605262977148,0.008358162
23,0.03698579673450745,0.04843923886269634,0.0073450166
24,0.036799586991349165,0.04829718647382034,0.0062454236
25,0.036582089256161736,0.04810424792071054,0.005059347
26,0.036338764949748255,0.04786529950903626,0.0037890258
27,0.036075522674539805,0.047585718128026706,0.002444133
28,0.035798648480871005,0.04727133499897009,0.0010900042
29,0.03551471610401681,0.04692836098529779,0.00088415307
30,0.03523047585218945,0.04656333505954162,0.0023598422
31,0.03495272181479915,0.0461829850728076,0.004047735
32,0.03468813848506262,0.04579414718716006,0.0058369115
33,0.034443129741846074,0.045403610337931416,0.0077110073
34,0.034223635315727176,0.04501796400492648,0.009662608
35,0.034034942168145385,0.04464343688212404,0.011685899
36,0.03388150032552688,0.044285723418911266,0.013775227
37,0.03376675424213552,0.04394979311646673,0.015924692
38,0.03369300132229867,0.04363972559065838,0.018127995
39,0.03366128851803555,0.043358552610061704,0.020378413
40,0.03367135583499742,0.04310810778848562,0.022668798
41,0.03372163229650224,0.04288895318659597,0.02499154
42,0.03380928586247661,0.04270026405214195,0.027338674
43,0.03393032458497626,0.04253986689564618,0.029701883
44,0.034079742546864245,0.042404225566958394,0.032072518
